iter	Passed	Remaining
0	62	50134
1	66	26533
2	70	18633
3	73	14581
4	76	12213
5	79	10492
6	82	9331
7	85	8427
8	87	7727
9	90	7152
10	93	6704
11	96	6308
12	99	6022
13	101	5720
14	104	5480
15	108	5304
16	110	5112
17	113	4942
18	116	4800
19	119	4669
20	123	4575
21	126	4484
22	130	4399
23	133	4305
24	136	4218
25	138	4134
26	141	4056
27	144	3982
28	147	3913
29	150	3871
30	153	3806
31	156	3753
32	158	3690
33	161	3639
34	165	3618
35	168	3573
36	171	3530
37	173	3483
38	176	3442
39	179	3402
40	182	3374
41	185	3341
42	188	3316
43	191	3283
44	194	3256
45	197	3237
46	200	3211
47	203	3181
48	205	3148
49	209	3144
50	212	3117
51	215	3095
52	217	3070
53	220	3049
54	223	3031
55	226	3015
56	230	3004
57	233	2981
58	236	2968
59	238	2944
60	241	2930
61	245	2917
62	247	2896
63	250	2881
64	253	2866
65	256	2850
66	259	2835
67	262	2822
68	265	2815
69	268	2804
70	271	2788
71	274	2778
72	277	2763
73	280	2751
74	284	2746
75	286	2731
76	289	2719
77	292	2705
78	294	2689
79	297	2674
80	300	2663
81	303	2655
82	305	2641
83	309	2637
84	312	2632
85	316	2625
86	319	2615
87	321	2602
88	324	2593
89	327	2580
90	330	2577
91	333	2566
92	337	2562
93	339	2552
94	343	2546
95	345	2536
96	349	2533
97	352	2525
98	355	2520
99	358	2511
100	361	2500
101	364	2492
102	367	2485
103	370	2476
104	373	2472
105	376	2465
106	380	2463
107	382	2453
108	385	2443
109	388	2436
110	391	2428
111	394	2423
112	397	2414
113	399	2405
114	402	2399
115	405	2391
116	409	2389
117	411	2379
118	415	2375
119	418	2368
120	420	2361
121	423	2353
122	426	2349
123	428	2336
124	431	2330
125	434	2323
126	437	2318
127	440	2311
128	441	2296
129	444	2293
130	447	2286
131	450	2282
132	453	2274
133	457	2273
134	461	2271
135	464	2267
136	467	2261
137	470	2259
138	474	2254
139	477	2249
140	480	2246
141	483	2239
142	487	2238
143	489	2231
144	493	2227
145	497	2227
146	501	2226
147	504	2221
148	507	2215
149	509	2209
150	513	2205
151	516	2201
152	519	2198
153	522	2192
154	523	2177
155	526	2172
156	528	2164
157	531	2160
158	533	2148
159	535	2143
160	538	2138
161	541	2133
162	544	2127
163	547	2124
164	550	2117
165	552	2112
166	556	2109
167	560	2107
168	563	2102
169	566	2100
170	569	2096
171	572	2090
172	575	2087
173	578	2081
174	582	2079
175	585	2076
176	589	2073
177	592	2068
178	595	2065
179	596	2055
180	599	2050
181	602	2047
182	605	2043
183	609	2039
184	612	2037
185	616	2035
186	619	2029
187	622	2024
188	625	2021
189	628	2016
190	630	2010
191	633	2006
192	637	2003
193	640	2000
194	643	1997
195	646	1993
196	649	1989
197	652	1983
198	656	1981
199	659	1978
200	663	1976
201	666	1972
202	669	1969
203	672	1963
204	676	1963
205	678	1957
206	682	1954
207	685	1951
208	688	1946
209	691	1941
210	694	1939
211	697	1935
212	701	1932
213	704	1927
214	707	1924
215	709	1919
216	713	1917
217	715	1911
218	719	1907
219	721	1903
220	725	1899
221	728	1897
222	731	1891
223	734	1889
224	737	1885
225	740	1880
226	743	1876
227	746	1871
228	748	1867
229	751	1862
230	754	1857
231	756	1852
232	759	1848
233	762	1845
234	765	1840
235	768	1837
236	771	1832
237	773	1827
238	778	1826
239	781	1823
240	785	1821
241	787	1816
242	791	1813
243	794	1810
244	797	1806
245	799	1801
246	803	1799
247	806	1794
248	809	1792
249	812	1786
250	815	1784
251	818	1780
252	822	1777
253	825	1774
254	828	1769
255	831	1766
256	834	1762
257	837	1759
258	840	1756
259	844	1753
260	846	1748
261	850	1746
262	852	1741
263	855	1737
264	859	1734
265	861	1729
266	865	1727
267	867	1721
268	870	1719
269	873	1715
270	875	1708
271	878	1705
